user_standort,timestamp_meldung,timestamp_letzteBearbeitung,user_text,user_kategorie,ki_stelle,ki_prio
"(52.4278, 10.7856)",2024-09-08 05:53:55,2024-09-08 17:53:55,Großes Schlagloch auf der Straße,Straßen bzw. Wegschäden,Straßenbau,low
"(52.425, 10.782)",2024-10-08 05:09:17,2024-10-08 15:09:17,"Glätte auf der Straße, kein Streusalz",Straßenreinigung/ Winterdienst,Stadtreinigung,medium
"(52.422501, 10.786042)",2025-01-11 04:18:08,2025-01-13 01:18:08,"Das Gras ist zu hoch, mein Hund sieht nichts",Grünfläche/Unkraut/ Eichenprozessionsspinner,Landschaftsbild,low
"(52.425, 10.782)",2024-12-20 01:15:41,2024-12-22 00:15:41,Laub auf dem Gehweg,Straßenreinigung/ Winterdienst,Stadtreinigung,low
"(52.428, 10.775)",2025-01-10 06:02:42,2025-01-11 14:02:42,Ampel an der Kreuzung geht nicht,Defekte Ampel,Straßenbau,high
"(52.43, 10.78)",2025-02-19 13:23:47,2025-02-21 07:23:47,Illegale Müllablagerung am Straßenrand,Abfallentsorgung,Stadtreinigung,low
"(52.43, 10.78)",2024-10-16 23:51:24,2024-10-18 17:51:24,Stein am Brunnen beschädigt,Schaden am Brunnen,Landschaftsbild,high
"(52.422501, 10.786042)",2024-10-31 10:28:51,2024-11-02 07:28:51,Stein am Brunnen beschädigt,Schaden am Brunnen,Landschaftsbild,low
"(52.420148, 10.769726)",2024-08-05 06:26:53,2024-08-07 02:26:53,Straßenlaterne vor meinem Haus flackert,Straßenbeleuchtung,Straßenbau,low
"(52.4195, 10.7705)",2025-01-28 13:47:34,2025-01-28 14:47:34,Stein am Brunnen beschädigt,Schaden am Brunnen,Landschaftsbild,low
"(52.4235, 10.8)",2025-02-06 15:44:45,2025-02-07 06:44:45,Ampel an der Kreuzung geht nicht,Defekte Ampel,Straßenbau,medium
"(52.425, 10.782)",2025-01-08 20:05:18,2025-01-10 13:05:18,Stein am Brunnen beschädigt,Schaden am Brunnen,Landschaftsbild,medium
"(52.4195, 10.7705)",2025-01-03 22:54:29,2025-01-04 06:54:29,Toter Vogel auf dem Gehweg,Tiere,Landschaftsbild,low
"(52.420148, 10.769726)",2024-11-08 13:33:36,2024-11-08 19:33:36,Falsches Verkehrsschild entdeckt,Verkehrshinweise,Straßenbau,low
"(52.4195, 10.7705)",2024-09-20 13:09:52,2024-09-22 05:09:52,Falsches Verkehrsschild entdeckt,Verkehrshinweise,Straßenbau,medium
"(52.43, 10.78)",2025-02-11 13:39:17,2025-02-13 05:39:17,Mülleimer im Park ist überfüllt,Abfallentsorgung,Stadtreinigung,high
"(52.4195, 10.7705)",2024-11-29 18:00:23,2024-12-01 14:00:23,Glasscherben auf dem Spielplatz,Spielplatz verunreinigt/defekt,Landschaftsbild,low
"(52.4195, 10.7705)",2024-11-26 01:20:41,2024-11-27 07:20:41,Ampel an der Kreuzung geht nicht,Defekte Ampel,Straßenbau,high
"(52.4195, 10.7705)",2024-09-29 21:33:08,2024-09-30 00:33:08,Falsches Verkehrsschild entdeckt,Verkehrshinweise,Straßenbau,low
"(52.4235, 10.8)",2025-01-10 11:01:25,2025-01-10 13:01:25,Brunnenpumpe funktioniert nicht,Schaden am Brunnen,Landschaftsbild,low
"(52.422501, 10.786042)",2024-12-14 05:33:35,2024-12-16 05:33:35,Markierung auf der Straße kaum sichtbar,Verkehrshinweise,Straßenbau,high
"(52.428, 10.775)",2024-12-28 18:03:07,2024-12-29 22:03:07,Frei laufender Hund ohne Besitzer,Tiere,Landschaftsbild,low
"(52.422501, 10.786042)",2024-11-01 10:28:26,2024-11-01 21:28:26,Bushaltestelle wurde beschädigt,Vandalismus,Stadtreinigung,low
"(52.420148, 10.769726)",2024-09-25 09:28:31,2024-09-26 06:28:31,Abfluss ist verstopft nach Regen,Verstopfter Gulli,Straßenbau,low
"(52.4235, 10.8)",2025-02-01 00:52:09,2025-02-01 12:52:09,"Das Gras ist zu hoch, mein Hund sieht nichts",Grünfläche/Unkraut/ Eichenprozessionsspinner,Landschaftsbild,low
"(52.420148, 10.769726)",2024-11-17 15:41:09,2024-11-18 05:41:09,Eichenprozessionsspinner gesichtet,Grünfläche/Unkraut/ Eichenprozessionsspinner,Landschaftsbild,low
"(52.43, 10.78)",2024-10-20 00:04:15,2024-10-20 03:04:15,Glasscherben auf dem Spielplatz,Spielplatz verunreinigt/defekt,Landschaftsbild,medium
"(52.428, 10.775)",2024-08-09 18:33:57,2024-08-10 01:33:57,Glasscherben auf dem Spielplatz,Spielplatz verunreinigt/defekt,Landschaftsbild,low
"(52.4195, 10.7705)",2024-09-09 08:54:27,2024-09-10 00:54:27,Eichenprozessionsspinner gesichtet,Grünfläche/Unkraut/ Eichenprozessionsspinner,Landschaftsbild,low
"(52.420148, 10.769726)",2024-09-08 10:26:32,2024-09-10 09:26:32,Unkraut wuchert überall im Park,Grünfläche/Unkraut/ Eichenprozessionsspinner,Landschaftsbild,low
"(52.425, 10.782)",2024-08-08 23:44:53,2024-08-10 01:44:53,Markierung auf der Straße kaum sichtbar,Verkehrshinweise,Straßenbau,medium
"(52.420148, 10.769726)",2024-08-31 09:55:36,2024-09-02 07:55:36,"Das Gras ist zu hoch, mein Hund sieht nichts",Grünfläche/Unkraut/ Eichenprozessionsspinner,Landschaftsbild,medium
"(52.4278, 10.7856)",2025-03-05 16:10:49,2025-03-05 23:10:49,Risse im Asphalt auf der Hauptstraße,Straßen bzw. Wegschäden,Straßenbau,medium
"(52.421, 10.795)",2025-01-01 01:49:23,2025-01-02 15:49:23,Straßenlaterne vor meinem Haus flackert,Straßenbeleuchtung,Straßenbau,high
"(52.422501, 10.786042)",2024-12-12 07:08:08,2024-12-12 12:08:08,Markierung auf der Straße kaum sichtbar,Verkehrshinweise,Straßenbau,low
"(52.422501, 10.786042)",2025-02-09 23:15:02,2025-02-10 09:15:02,Abfluss ist verstopft nach Regen,Verstopfter Gulli,Straßenbau,medium
"(52.426669, 10.790072)",2025-01-29 14:29:53,2025-01-31 01:29:53,Stein am Brunnen beschädigt,Schaden am Brunnen,Landschaftsbild,low
"(52.422501, 10.786042)",2024-09-08 22:34:21,2024-09-10 16:34:21,Spielgeräte defekt,Spielplatz verunreinigt/defekt,Landschaftsbild,medium
"(52.4195, 10.7705)",2025-01-06 07:52:06,2025-01-08 01:52:06,Bushaltestelle wurde beschädigt,Vandalismus,Stadtreinigung,medium
"(52.426669, 10.790072)",2024-08-03 04:22:01,2024-08-03 22:22:01,Unkraut wuchert überall im Park,Grünfläche/Unkraut/ Eichenprozessionsspinner,Landschaftsbild,medium
"(52.4235, 10.8)",2024-08-01 05:24:00,2024-08-01 17:24:00,Laub auf dem Gehweg,Straßenreinigung/ Winterdienst,Stadtreinigung,high
"(52.428, 10.775)",2024-11-15 14:01:38,2024-11-15 22:01:38,Brunnenpumpe funktioniert nicht,Schaden am Brunnen,Landschaftsbild,low
